,backside,Kanji,Keyword,Meaning,Alternative Meaning,On readings,Kun readings,Emphasis***,dummy_kana,Level,ONmem,KUNmem,MEANINGmem,Common words,KUNexample,Extra words,Old level,Nanori,Example,Components,No of strokes,Radical,Traditional form,Classification,Koohi Story 1,Koohi Story 2,RTK index (new),Tag,waniplus_level,waniplus_id,waniplus_srs
塑,ソ　molding,塑,model,molding,model,ソ,でく,onyomi,,68,,,,"ちょうそcommon 【彫塑】carving;  engraving / clay model / plastic art
",,,,,,朔: conjunction (astronomy); first day of month<br>土: soil; earth; ground; Turkey,13,土,(none),形声 Phonetic,This guy is such a gifted sculptor. He can model a MOUNTAIN GOAT and a MOON with just SOIL mold.,"A legend says that if you model a mountain goat (with tail and everything) from dirt and leave to the light of the moon on the first day of the month (#2846), the dirt will became flesh. (blackstockc).",2110,JLPT.N1 gradeS,,,
吏,シ　つかさ　an official,吏,officer,officer,an official,リ,さと、し,onyomi,,68,,,,かんりcommon 【官吏】government official;  clerk,,,,"さと, し",捕吏(ほり): constable; policeman,丈: length; 10feet; measure; Mr.; Ms.; height; stature; all (one has); only; that's all; merely<br>口: mouth,6,口,(none),会意 Compound Ideographic,One officer can change the course of history.,"One officer, namely Napoleon, changed the course of history. (Thanks, ayoung24). Napoleon is also my primitive meaning.",748,JLPT.N1 gradeS,,,
附,"フ　つ.く　append, follow, deliver",附,affixed,affixed,"attach, refer to, append",フ,つ,onyomi,,68,,,,"ふきんcommon 【附近】neighbourhood;  neighborhood;  vicinity;  environs
きふcommon 【寄附】contribution;  donation
ふぞくcommon 【附属】attached;  belonging (to);  included;  enclosed;  affiliated;  annexed;  associated;  subordinate;  incidental;  dependent;  auxiliary
ひづけcommon 【日附】date;  dating 例文
ばんづけcommon 【番附】ranked list (entertainers, sumo wrestlers, millionaires, etc.) / program (e.g. theatre)
つけるcommon 【附ける】to attach;  to join;  to add;  to append;  to affix;  to stick;  to glue;  to fasten;  to sew on;  to apply (ointment)
ふかcommon 【附加】addition;  annexation;  appendage
みつけるcommon 【見附ける · 見附るirregular】to discover;  to find (e.g. an error in a book);  to come across;  to detect;  to spot / to locate;  to find (e.g. something missing);  to find fault / to be used to seeing;  to be familiar with;
ふたいcommon 【附帯】incidental;  ancillary;  accessory;  secondary;  collateral
てんぷcommon 【添附】attachment (e.g. email);  appendix (e.g. of a report, document, etc);  annex;  appendage;  annexure
ふろくcommon 【附録】appendix;  supplement;  annex
つけねcommon 【附け根 · 附根】root;  joint;  base;  crotch
ふちゃくcommon 【付着 · 附着】sticking to;  clinging to;  adhesion;  cohesion;  agglutination 例文
つけくわえるcommon 【附け加える · 附加える】to add one thing to another 例文
ふたくcommon 【附託】committal;  reference;  submission (e.g. to committee);  commitment
ふするcommon 【附する】to affix;  to append;  to attach / to entrust;  to refer;  to handle (as such) / to follow (the leader) / to submit (a document, etc.)
ふずいcommon 【附随】incident to;  attaching to;  annexed to;  concomitant;  attending
つけとどけcommon 【附屆irregular】gift;  present;  tip / bribe",,,,"ずき, づけ",寄附(きふ): contribution; donation<br>附属(ふぞく): attached; belonging (to); included; enclosed; affiliated; annexed; associated; subordinate; incidental; dependent; auxiliary,阜: hill; mound; left village radical (no. 170)<br>付: adhere; attach; refer to; append,8,阜,(none),形声 Phonetic,A sign was AFFIXED on the PINNACLE of the Acropolis so that tourists would ADHERE to the rules.,The Pinnacle is firmly affixed to the top of the mount with bubble gum. (adhere (#1000)).,1400,JLPT.N1 gradeS kanjifreq2001-2500,,,
宵,"ショウ　よい　evening, wee hours",宵,wee hours,evening,"wee hours, early night",ショウ,よい,kunyomi,,68,,,,"よいcommon 【宵】evening;  early night hours
こよいcommon 【今宵】this evening;  tonight",,"徹宵【てっしょう】all night; without sleep
半宵【はんしょう】midnight",,,,宀: shaped crown; katakana u radical (no. 40)<br>肖: resemblance,10,宀,(none),形声 Phonetic,I burn the CANDLE in my HOUSE until the WEE HOURS reviewing the kanji!!!,"I agree with elktapestry. This kanji really means ""early evening"", not ""wee hours"" [Heisig really should have done his homework on this and several other characters (e.g., #145 ""but of course"" -- what the hell???). Oh well.] ""Every house lights candles in the EARLY EVENING which stay lit until the wee hours"". E.G. 宵の口（よいのくち）early evening; 今宵（こよい）this evening; tonight.",201,JLPT.N1 gradeS kanjifreq2001-2500 Kanji_Time,,,
逐,"チク　お.う　pursue, follow, compete",逐,pursue,pursue,"drive away, chase, accomplish, attain, commit",チク,,onyomi,,68,,,,"おうcommon 【追う · 逐う】to chase;  to run after;  to pursue / to follow (i.e. a set order, a trend) / to drive out;  to oust;  to expel / to drive (i.e. a herd)
ちくいちcommon 【逐一】one by one;  in detail;  minutely
くちくcommon 【駆逐】extermination;  expulsion;  destruction
ちくじcommon 【逐次】successively;  one after another;  sequentially
ほうちくcommon 【放逐】expulsion;  ejection;  dismissal;  ostracism",,,,,,豕: pig; hog; pig radical (no. 152)<br>辶: walk; walking; road radical variant (no. 162),10,辵,(none),会意 Compound Ideographic,"In association with consummate (#540), our sow is on the road pursuing a mate.",The pig is on the road in the pursue of the turtle who is trying to escape (#283). (See story on escape (#283) & consummate (#540)).,578,JLPT.N1 gradeS kanjifreq2001-2500,,,
褐,カツ　burnt brown,褐,brown,brown,woollen kimono,カツ,,onyomi,,68,,,,"かっしょくcommon 【褐色】dark brown;  colour of tanned skin
ちゃかっしょくcommon 【茶褐色】dark reddish-brown;  liver color",,,,,,衣: garment; clothes; dressing<br>曷: why; how; when,13,衣,褐,形声 Phonetic,Why is my package late? Imagine a UPS driver dressed in BROWN garments taking a siesta. What can BROWN do for you?,Mexicans use a cloak (pancho) for their siestas. Their color is usually brown.,490,JLPT.N1 gradeS kanjifreq2001-2500 Kanji_Physical.Properties_Color,,,
楼,ロウ　high building,楼,watchtower,high building,"watchtower, lookout",ロウ,たかどの,onyomi,,68,,,,"ろうかくcommon 【楼閣】multistoried building 例文
しんきろうcommon 【蜃気楼】mirage 例文
まてんろうcommon 【摩天楼】skyscraper 例文
しょうろうcommon 【鐘楼】belfry;  bell tower",,,,,,木: tree; wood<br>婁: frequently; tie,13,木,樓,形声 Phonetic,"The young taskmaster (see number (#929)) uses a tree as a watchtower to get a better view of his rice-carrying women. ""I can seeeee you! One! Two! Three!"".","On the top of the woodmade watchtower we look for our enemies, who will come to steal our rice and our women.",999,JLPT.N1 gradeS kanjifreq2001-2500 Kanji_Structure.Town.Building,,,
勅,チョク　みことのり　imperial order,勅,imperial order,imperial order,,チョク,みことのり、いまし,onyomi,,68,,,,ちょくcommon 【勅】imperial decree;  imperial edict,,,,"て, のり",,束: bundle; sheaf; ream; tie in bundles; govern; manage; control<br>力: power; strength; strong; strain; bear up; exert,9,力,敕,会意 Compound Ideographic,"This is an imperial order for pizza. To deliver the huge bundle of pizzas to the emperor, the pizza boy needs huge muscles.",Imperial order carries quite a bundle of executive power.,1796,JLPT.N1 gradeS kanjifreq2001-2500,,,
硝,"ショウ　nitrate, gunpowder",硝,nitrate,nitrate,saltpeter,ショウ,,onyomi,,68,,,,"ガラスcommon【硝子】glass;  pane; 
しょうさんcommon 【硝酸】nitric acid
しょうえんcommon 【硝煙】gunpowder smoke",,,,,硝子(ガラス): (1) glass; pane (2) vitreous,石: stone<br>肖: resemblance,12,石,(none),形声 Phonetic,That stone has sparks coming out of it! Someone must have poured nitrate acid on it.,"Salpetre is the common name for Nitrate coming from Latin ""sal petrae"" or stone salt. It is also a component of gun powder so including a candle in this kanji can be quite explosive!",120,JLPT.N1 gradeS kanjifreq2001-2500,,,
逓,"テイ　かわ.る　たが.いに　relay, in turn, change places",逓,parcel post,in turn,"relay, sending",テイ,かわ、たがいに,onyomi,,68,,,,"ていしんcommon 【逓信】communications (e.g. post, tele.)",,,,,,乕: tiger; brave; fierce; surname<br>辶: walk; walking; road radical variant (no. 162),10,辵,遞,形声 Phonetic,"Picture a crude drag-sled - in this case, made from cornstalks that have been belted together - filled with parcels, that the postman drags along behind him down the road along his delivery route.",(I prefer 2 towels over cornstalk and belt) - Have you ever wondered why your parcels always end up in such bad condition when you get them? Or why you never get them at all? That´s because you´ve never looked at how they´re actually delivered - each postman is given a load of parcel post and 2 towels to drag them down the road on.,2002,JLPT.N1 gradeS kanjifreq1501-2000,,,
翁,オウ　おきな　venerable old man,翁,venerable old man,venerable old man,,オウ,おきな,onyomi,,68,,,,おうcommon【翁】old man;  venerable gentleman,,"翁貝【おきながい】lantern shell
翁の面【おきなのめん】old man's mask",,"お, おな",,"公: public; prince; official; governmental<br>羽: feathers; counter for birds, rabbits",10,羽,(none),形声 Phonetic,"The venerable old man is the public figure head of the Native American Village, answering all questions and solving all problems. The higher in rank you get in this tribe, the more feathers decorate you. Imagine this old man covered in beautiful feathers.","The venerable old man is using the public restroom in the park where he feeds the pigeons. But, alas, there is no toilet paper! So, he´s caught a pigeon and is using it to wipe his bottom. (note the feathers on the bottom of the kanji, this helps remember placement). Can you see the feathers flying everywhere?",849,JLPT.N1 gradeS kanjifreq2001-2500 Kanji_People_General,,,
薫,クン　かおり　fragrant,薫,fragrant,send forth fragrance,"fragrant, be scented, smoke (tobacco)",クン,かお,onyomi,,68,,,,"かおるcommon 【香る · 薫る】to smell sweet;  to be fragrant 例文
くんじょうcommon 【燻蒸 · 熏蒸 · 薫蒸 · くん蒸】fumigation;  smoking (out)",,,,"かおり, かおる, かほ, かほる, くに, しげ, にほ, のぶ, よし",,艸: grass; plants; grass radical (no. 140)<br>重: heavy; heap up; pile up; nest of boxes; -fold<br>火: fire,16,艸,薰,形声 Phonetic,"Do you know how they make those FRAGRANT air fresheners? Well you take some FLOWERS, compress them with a HEAVY weight, and put them on an OVEN FIRE for a while... (cmp perfume (#493)).",The heavier the flowers the stronger their fragrance when you burn them.,1812,JLPT.N1 gradeS kanjifreq1501-2000,,,
厘,リン　one-hundredth,厘,rin,one-hundredth,"rin, 1/10sen, 1/10bu",リン,,onyomi,,68,,,,りんcommon 【厘】one-hundredth;,,,,,,厂: wild goose; trailing cliff radical (no. 27)<br>里: ri; village; parent's home; league,9,厂,(none),形声 Phonetic,"I threw my Rindows computer off a cliff because it kept crashing. Now, after its last crash, it´s worth less than a rin.",A computer dropped off of a cliff would be worth about 1 RIN.,190,JLPT.N1 gradeS kanjifreq1501-2000 Kanji_Counting_Units.of.Length,,,
斤,"キン　おの　axe, weight, loaf of bread",斤,ax,counter for loaves of bread,"axe, 1.32 lb, catty",キン,,onyomi,,68,,,,"きんりょうcommon 【斤量】weight
斧　おの",,,,,,"斤: axe, axe radical (no. 69)",4,斤,(none),象形 Pictographic,Errata: stroke order in 4th edition is wrong. Top stroke is first.,"The axe-wielding maniac nails a poor victim, right under a cliff. Blood everywhere! (thanks scottamus!).",1206,JLPT.N1 Kanji_Counting_Counters Kanji_Counting_Units.of.Weight Kanji_Manufactured.Item gradeS,,,
薪,シン　まき　たきぎ　firewood,薪,firewood,firewood,"fuel, kindling",シン,まき、たきぎ,kunyomi,,68,,,,"まきcommon 【薪】firewood;  kindling;  fuel / piece(s) of firewood
しんたんcommon 【薪炭】wood and charcoal;  fuel",,,,,,艸: grass; plants; grass radical (no. 140)<br>新: new,16,艸,(none),形声 Phonetic,New flowers grow in areas of forests which have been chopped down for firewood.,"If your firewood is too new and still has flowers on it, it´s unsuitable for burning. You need drier wood.",1620,JLPT.N1 gradeS kanjifreq2001-2500,,,
汎,"ハン　ただよ.う　ひろ.い　wide, float, flood",汎,pan,pan-,,ハン、ブ、フウ、ホウ、ホン,ただよ、ひろ,onyomi,,69,,,,"はんcommon 【汎】pan-
こうはんcommon 【広範 · 広汎 · 廣汎】wide;  extensive;  comprehensive;  far-reaching;  widespread 例文
はんようcommon 【汎用】generic;  general purpose;  all-purpose
はんらんcommon 【氾濫 · 汎濫】overflowing;  flood",,,,"ひろ, ひろし, みな",,水: water<br>凡: mediocre,6,水,(none),形声 Phonetic,"Yeah, all our water is fairly mediocre, but if we work together in some pan-continental union, we can make some better water! As if.","This is pan- as in the prefix meaning ""all"". I think of Pangea as being a mediocre continent with water covering the rest of the planet. This was before it broke up into the first-class, well-distributed continents we got now.",147,JLPT.N0 gradeS kanjifreq2001-2500,,,
窟,クツ　いわや　cavern,窟,cavern,cavern,,クツ、コツ,いわや、いはや、あな,onyomi,,69,,,,"いわやcommon 【岩屋 · 石屋 · 窟】cavern;  grotto
りくつcommon 【理屈 · 理窟】theory;  reason 例文
どうくつcommon 【洞窟】cave 例文",,,,,,穴: hole; aperture; slit; cave; den<br>屈: yield; bend; flinch; submit,13,穴,(none),形声 Phonetic,"After Osama blew a hole in NY, the counterreaction forced him to yield and retreat into caverns.","In ""The Empire Strikes Back"", the Milennium Falcon flies into a large hole, of what they think is a cavern, because they don´t want to yield to the forces of the Empire. Turns out it´s not a cavern at all, actually...",1420,JLPT.N0 gradeS Kanji_Nature_Landscape,,,
痕,コン　あと　scar,痕,scar,mark,"foot print, scar",コン,あと,onyomi,,69,,,,"あとcommon 【跡 · 迹 · 痕 · 址】trace;  tracks;  mark;  sign / remains;  ruins / scar  —Esp. 痕.
きずあとcommon 【傷跡 · 傷痕 · 疵痕】scar;  cicatrix 例文
こんせきcommon 【痕跡】trace;  traces;  vestige;  vestiges 例文
けっこんcommon 【血痕】bloodstain",,,,,,疒: trailing sickness; sick radical (no. 104)<br>艮: northeast (Oriental zodiac); stopping; good radical (no. 138),11,疒,(none),形声 Phonetic,"I suffer from silver-sickness, that is, if anything made of silver even touches my skin it leaves a scar.","I got sick and needed surgery, but the silver lining is that now I have these awesome scars I can show off!",1822,JLPT.N0 gradeS kanjifreq1501-2000 Kanji_Body_Health.Illness,,,
串,"くし　つらぬ.く　skewer, pierce",串,shish kebab,skewer,"shish kebab, spit",カン、ケン、セン,くし、つらぬ,kunyomi,,69,,,,"くしcommon 【串】spit;  skewer
じょうだんcommon 【冗談 · 戯談 · 串戯 · 串戲】jest;  joke;  funny story;",,,,,,口: mouth<br>中: in; inside; middle; mean; center,7,丨,(none),象形 Pictographic,"Naka naka , ""who´s there?"" shish kebab .... ""shish kebab who?"".",This is a pictograph if ever I saw one. Two chunks of meat on a skewer.,649,JLPT.N0 gradeS kanjifreq2001-2500 Kanji_Manufactured.Item,,,
刹,"サツ　セツ　temple, related to Buddhism",刹,moment,temple,,セツ、サツ、セチ,,onyomi,,69,,,,名刹　めいさつ,,"刹那【せつな】moment; instant; juncture
巨刹【きょさつ】large temple
古刹【こさつ】ancient temple
仏刹【ぶっさつ】Buddhist temple",,,,乂: mow; cut grass; subdue<br>木: tree; wood<br>刀: sword; saber; knife,8,刀,(none),会意 Compound Ideographic,The kendo artist takes a brief moment to practice his skills: he throws sheafs over the tree and tries to cut them with his saber when they come down again.,Wtf moment? This kanji means temple. Wooden x-men statues with sabres guard the entrance to the Professor Xavier temple. Might help if you imagine the two x-men as Wolverine and Sabretooth.,1601,JLPT.N0 gradeS Kanji_Human.Activities_Religion.Creed,,,
慄,リツ　おそ.れ　おのの.く　fear,慄,fear,fear,,リツ,ふる、おそ、おのの,onyomi,,69,,,,せんりつcommon 【戦慄】shudder;  shiver;  tremble with fear;  horrible;  terrible;  hair-raising 例文,,,,,,心: heart; mind; spirit; heart radical (no. 61)<br>栗: chestnut,13,心,(none),形声 Phonetic,"Shudder. If chestnut trees were sentient, shudder would be their state of mind as the tree shaker approaches. Note: Tree shakers are used commercially to harvest nuts and cider apples. A tree shaker makes a tree shudder causing all the ripe chestnuts to fall.",shudder: You’re in the state of mind of shuddering with fear when the chestnut tree is falling over towards you.,1736,JLPT.N0 gradeS Kanji_Emotion.Sense_Emotion,,,
詮,"セン　elucidate, conclude",詮,elucidate,discussion,"methods called for, selection, result",セン,せん、かい、あき,onyomi,,69,,,,,,"詮術【せんすべ】(proper) methods
所詮【しょせん】after all
詮索【せんさく】inquiry into; enquiry into; prying (into); investigation; search; exploration
詮【かい】effect; result; worth; use; avail",,あき,,言: say<br>全: whole; entire; all; complete; fulfill,13,言,(none),形声 Phonetic,Words that tell you the results of the whole story really elucidate.,"Elucidate me. Tell me, in your own words, the whole story.",360,JLPT.N0 gradeS,,,
曽,"ソウ　ゾ　かつ.て　ひい　ひ　formerly, once",曽,formerly,formerly,"once, before, ever, never, ex-",ソウ、ソ、ゾウ,かつ、かつて、すなわち,onyomi,,69,,,,ひまごcommon【曾孫 · 曽孫 · ひ孫】great-grandchild,,"曽祖父【そうそふ】great-grandfather; great-granddad; great-grandad
曽祖母【そうそぼ】great-grandmother; great-grandma
曽孫【そうそん】great-grandchild",,,,八: eight; eight radical (no. 12)<div>田: rice field; rice paddy<br />日: day; sun; Japan; counter for days</div>,11,曰,曾,象形 Pictographic,"The Artist formerly Known as Prince has the horniest brain around, and I think you can imagine what his wagging tongue is doing...","Formerly, horned animals were used to plough the ricefield, and it took all day. Nowadays it´s done by machine.",540,JLPT.N0 gradeS kanjifreq1001-1500 Kanji_Time,,,
麺,メン　むぎこ　noodles,麺,noodles,noodles,wheat flour,メン、ベン,むぎこ,onyomi,,69,,,,"めんcommon 【麺 · 麪】noodles 例文
らーめんcommon · ラーメンcommon 【拉麺 · 老麺】ramen (Chinese-style noodles)",,,,,,麥: wheat<br>面: mask; face; features; surface,16,麥,麵,形声 Phonetic,#NAME?,There is a certain restaurant in West-Shinjuku that serves its noodles made of BARLEY in a MASK instead of a plate. I love these theme-restaurants!,2040,JLPT.N0 gradeS kanjifreq2001-2500 Kanji_Food.Drink,,,
腎,ジン　kidney,腎,kidney,kidney,,ジン,,onyomi,,69,,,,"かんじんcommon 【肝心 · 肝腎】essential;  fundamental;  crucial;  vital;  main 例文
じんぞうcommon 【腎臓】kidney 例文
じんふぜんcommon 【腎不全】renal failure
じんえんcommon 【腎炎】kidney inflammation;  nephritis",,,,,,臣: retainer; subject<br>又: or again; furthermore; on the other hand<br>肉: meat,13,肉,(none),形声 Phonetic,"When the sex slave misbehaves, threaten to sell his body parts starting with his kidney.","If you have a weak KIDNEY, you´ll become a SLAVE to your CROTCH´s need to pee. Oh well, it´s just a weakness of the FLESH.",916,JLPT.N0 gradeS kanjifreq1501-2000 Kanji_Body_Organ.Torso,,,
沃,"ヨウ　ヨク　そそ.ぐ　fertile land, pour",沃,irrigate,fertility,,ヨウ、ヨク、オク,そそ,onyomi,,69,,,,ヨードチンキcommon 【沃度丁幾】tincture of iodine,,"沃素【ようそ】iodine (I)
沃化【ようか】iodization; iodisation
豊沃【ほうよく】fertility
肥沃【ひよく】fertility; productive
沃土【よくど】rich soil; fertile land",,,,水: water<br>夭: early death; calamity,7,水,(none),形声 Phonetic,You use water to irrigate your saplings.,"A fairy needs a lot of water to irrigate those beating wings, so you have make sure they drink a lot to be well irrigated (see bewitched (#2078).",459,JLPT.N0 gradeS,,,
憬,ケイ　あこが.れ　yearn for,憬,yearn for,yearn for,"aspire to, admire",ケイ,あこが,onyomi,,69,,,,"あこがれるcommon 【憧れる · 憬れる · 憧憬れる】to long for;  to yearn after;  to admire;  to be attracted by 例文
あこがれcommon 【憧れ · 憬れ】yearning;  longing;  aspiration 例文
しょうけいcommon · どうけい 【憧憬】longing;  aspiration",,,,,,心: heart; mind; spirit; heart radical (no. 61)<br>景: scenery; view,15,心,(none),形声 Phonetic,My mind hankers for sunrise over the capital.,I'm in a state of mind where I hanker to see the sun over the capital for some nice scenery for a change (no more rain!),682,JLPT.N0 gradeS Kanji_Emotion.Sense_Emotion,,,
柵,"サク　しがらみ　しがら.む　fence, bond, entwine",柵,palisade,fence,"stockade, weir, entwine around",サク、サン,しがら、しがらみ、とりで、やらい,onyomi,,69,,,,さくcommon 【柵】fence;  paling;  railing ,,,,"ませ, やな",柵(さく): fence; paling,木: tree; wood<br>冊: tome; counter for books; volume,9,木,(none),形声 Phonetic,"A palisade is a ""fence of stakes especially for defense,"" usually the stakes are very strong, set closely together, and pointed on top. Tome can be seen as a pictograph of several close-set wooden stakes, braced by one horizontal bar.",An army of scholars build a wooden palisade to protect their precious tome of literature.,1968,JLPT.N0 gradeS Kanji_Structure.Town.Building,,,
僅,キン　わず.か　a little,僅,trifle,a wee bit,,キン、ゴン,わず,kunyomi,,69,,,,わずかcommon 【僅か · 纔か】only;  merely;  (a) little;  small quantity,,"僅差【きんさ】narrow margin
僅少【きんしょう】(a) few; (a) little; trifling; insignificant; small (amount); scarce (stocks)",,,僅か(わずか): only; merely; (a) little; small quantity,人: person<br>艸: grass; plants; grass radical (no. 140)<br>三: three,13,人,(none),形声 Phonetic,"To a big guy like Mr. T, eating a whole cabbage at once is nothing. ""What? a cabbage? That's just a trifle, foo, where's the meat?"".",To MR.T swallowing a whole CABBAGE is no more than a TRIFLE.,1699,JLPT.N0 gradeS,,,
錮,コ　ふさ.ぐ　imprison,錮,to tie,to tie,,コ,ふさ,onyomi,,69,,,,きんこcommon 【禁固 · 禁錮】imprisonment;  confinement,,,,,,金: gold<br>固: harden; set; clot; curdle,16,金,(none),形声 Phonetic,You weld metal in the knowledge that it will harden again.,"By welding metal and then subjecting it to refrigeration, it will become very hard by the process known as annealing.",623,JLPT.N0 gradeS,,,
辣,ラツ　から.い　pungent,辣,pungent,pungent,"spicy, harsh, cruel, severe",ラツ,から,onyomi,,69,,,,,,"悪辣【あくらつ】crafty; vicious; unscrupulous; sharp
辛辣【しんらつ】bitter; sharp; acrimonious
辣腕【らつわん】shrewdness; tact",,,,辛: spicy; bitter; hot; acrid<br>束: bundle; sheaf; ream; tie in bundles; govern; manage; control,14,辛,(none),形声 Phonetic,The bitter taste was so awful that I put whole bundle of spice in my mouth to get rid of it.,I'm rather bitter that someone stole my spice bundle.,1798,JLPT.N0 gradeS Kanji_Emotion.Sense_Sense,,,
踪,ソウ　あと　footprint,踪,remains,remains,"clue, footprint",ソウ、ショウ,あと,onyomi,,69,,,,,,失踪【しっそう】absconding; disappearance,,,,足: leg; foot; be sufficient; counter for pairs of footwear<br>宗: religion; sect; denomination; main point; origin; essence,15,足,(none),形声 Phonetic,A trail of destruction is left by pirates and religion invaders.,The followers of the crazy satanic religion are following the footprints of the escaped human sacrifices who fled from the altar.,1382,JLPT.N0 gradeS,,,
諧,カイ　やわ.らぐ　かな.う　ととの.う　harmony,諧,harmony,harmony,,カイ,かな、やわ,onyomi,,69,,,,"はいかいcommon 【俳諧 · 誹諧】haikai;  collective name for haiku, haibun, haiga, senryū, etc.
諧調　かいちょう
諧謔　かいぎゃく",,,,,,言: say<br>皆: all; everything,16,言,(none),形声 Phonetic,"To have orderliness, your words must be in all the right places.","起立(きりつ)！ Hearing these words, all the students immediately stand at attention. The orderliness of classes in Japan is incredible.",486,JLPT.N0 gradeS Kanji_Human.Activities_Culture.Art,,,
釜,かま　フ　cauldron,釜,cauldron,kettle,"cauldron, iron pot",フ,かま,kunyomi,,69,,,,"かまcommon 【釜】iron pot;  kettle
やかましいcommon 【喧しい · 八釜しい】noisy;  boisterous;",,,,,釜(かま): iron pot; kettle,父: father<br>金: gold,10,金,(none),形声 Phonetic,Your father uses his legs to stop himself from being put in a metal cauldron.,"Whilst on holiday, my father was captured by cannibals and put in a metal cauldron.",1367,JLPT.N0 gradeS kanjifreq1501-2000 Kanji_Manufactured.Item,,,
舷,ゲン　ふなばた　ふなべり　side of a boat,舷,gunwale,gunwale,,ゲン,ふなべり、ふなばた,onyomi,,69,,,,"うげんcommon 【右舷】starboard
さげんcommon 【左舷】port (left side of vessel)",,,,,,舟: boat; ship<br>玄: mysterious; occultness,11,舟,(none),形声 Phonetic,The gunwale is perhaps the most mysterious part of a boat for it is neither a gun nor a whale.,"Gunwale (rhymes with ""tunnel"") is the top edge of the side of a boat, for example the widened lip on the sides of a canoe. The mysterious origin of this part of a boat comes from the strengthened sides of warships that used artillery (it means ""gun ridge"").",2015,JLPT.N0 gradeS Kanji_Vehicle.Machine,,,
羞,シュウ　はじ　shame,羞,feel ashamed,feel ashamed,,シュウ,はじ、すすめ、は,kunyomi,,69,,,,"はじcommon 【恥 · 辱 · 羞 · 耻】shame;  embarrassment 例文
はずかしいcommon 【恥ずかしい · 羞ずかしい】shy;  ashamed; embarrassed; 
はじるcommon 【恥じる · 羞じる · 耻じる · 愧じる · 慙じる】to feel ashamed 例文
はじらうcommon 【恥じらう · 羞じらう · 恥らう】to feel shy;  to be bashful;  to blush
しゅうちcommon 【羞恥】shyness;  bashfulness
はじらいcommon 【恥じらい · 恥らい · 羞じらい · 羞い · 羞らい】shyness 例文",,,,,,羊: sheep<br>丿: katakana no radical (no. 4)<br>丑: sign of the ox or cow; 1-3AM; second sign of Chinese zodiac,11,羊,(none),会意 Compound Ideographic,The sheep had his coat shaven in the winter and a sign of th cow branded on him. How humiliating.,"[+melchan] The sheep was humiliated by being branded with the sign of the cow (which is a major insult to anyone, even sheep) and tries to cover it up with it's wool.",2198,JLPT.N0 gradeS Kanji_Emotion.Sense_Emotion,,,
璽,ジ　emperor's seal,璽,imperial seal,emperor's seal,,ジ,,onyomi,,69,,,,,,"印璽【いんじ】imperial seal
玉璽【ぎょくじ】sovereign's seal
剣璽【けんじ】sacred sword and jewels",,,,爾: you; thou; second person<br>玉: jewel; ball,19,玉,(none),形声 Phonetic,The imperial seal is usually an impressive mark made with a jewel. However when the letter arrives it has been raining on it and you see that the drops of rain have been transformed into little x’s where some animal legs have run over it.,"Primitives (to give correct stroke order): tool bench, towel, 4 Xs, jewel. Story: the Imperial Seal is like a kind of coat-of-arms the Emperor can stamp on stuff. Picture that coat-of-arms as depicting a big jewel (say, a diamond) with a motto on a banner above it saying 'let it be (#2074)'. (The emperor must have been a huge Beatles fan).",2194,JLPT.N1 gradeS,,,
淫,イン　みだ.ら　lewd,淫,lewd,lewdness,licentiousness,イン,みだ、みだり、ひた、ほしいまま,kunyomi,,69,,,,淫ら【みだら】loose; bawdy; improper; dirty,,"淫行【いんこう】obscenity; harlotry
淫事【いんじ】lascivious act
淫心【いんしん】sexual passion",,,,水: water<br>爪: claw; nail; talon<br>壬: 9th calendar sign,11,水,(none),形声 Phonetic,"The vulture is on top of the porter and appears to be commiting a lewd act, so I throw water over the pair of them.",Claw marks across the porters back from engaging in lewd acts in the shower. He is tipped well for carrying the lady´s bags to her room.,788,JLPT.N0 gradeS,,,
毀,キ　こぼ.つ　こわ.す　やぶ.る　そし.る　break,毀,break,break,"destroy, censure, be chipped, be scratched, be broken, be ruined",キ,こぼ、こわ、そし、やぶ,onyomi,,69,,,,"こわすcommon 【毀す】to break;  to destroy;  to demolish / to wreck;  to ruin;  to spoil;  to damage / to break (a bill, etc.)
こわれるcommon 【毀れる】to be broken;  to break / to fall through;  to come to nothing
はきcommon 【破毀】tearing up and discarding (e.g. documents);  disposal (e.g. weaponry); / revocation;  annulment;  breaking (e.g. treaty);  reversing (e.g. an original judgment) (judgement);  discard;  cancellation;  repeal 例文
とりこわしcommon 【取り毀し · 取毀し】demolition;  pulling down;  destruction;  dismantling 例文
とりこわすcommon 【取り毀す · 取毀す】to demolish;  to tear or pull down 例文
きそんcommon 【毀損】damage;  injury;  defamation;  waste",,,,,,臼: mortar<br>土: soil; earth; ground; Turkey<br>殳: pike; windy-again radical (no. 79),13,殳,(none),会意 Compound Ideographic,"To ""break the soil"" is to make a symbolic gesture that indicates the beginning of construction. Like when a politician in a hardhat gets a shovel and lifts a piece of dirt. This particular project is behind schedule, so to speed things up, they blow it up with mortar and an air-to-ground missile.","Place your mortar on solid ground before firing missiles from it, otherwise it will break.",1532,JLPT.N0 gradeS,,,
